update,global_step,fps,mean_reward,value_loss,policy_loss,entropy,learning_rate
1,512,634,-0.009999999776482582,0.0010072683217003942,-0.015856284648180008,1.5939114093780518,0.0003
2,1024,832,-0.009999999776482582,0.0007414801511913538,-0.04007856175303459,1.5806481838226318,0.0003
3,1536,934,-0.009999999776482582,0.0005830932641401887,-0.03765079379081726,1.525303840637207,0.0003
4,2048,990,-0.009999999776482582,0.0008163378806784749,-0.03026810847222805,1.5415682792663574,0.0003
5,2560,1019,-0.009999999776482582,0.008093033917248249,-0.02036742866039276,1.5369244813919067,0.0003
6,3072,1047,0.13648438453674316,62.23118591308594,-0.018104830756783485,0.7668306827545166,0.0003
7,3584,1060,0.13648438453674316,333.6069030761719,-0.011508166790008545,1.2494640350341797,0.0003
8,4096,1078,0.08765625208616257,53.74137878417969,0.05563809722661972,0.7573972940444946,0.0003
9,4608,1093,-0.009999999776482582,0.013967062346637249,-0.018450967967510223,1.5356545448303223,0.0003
10,5120,1102,-0.009999999776482582,0.0017664155457168818,-0.03995918110013008,1.5331730842590332,0.0003
11,5632,1096,-0.009999999776482582,0.009586112573742867,-0.018860824406147003,1.4720358848571777,0.0003
12,6144,1090,-0.009999999776482582,0.004418902564793825,-0.034893251955509186,1.4736419916152954,0.0003
13,6656,1094,-0.009999999776482582,0.006585180759429932,-0.06803205609321594,1.5235306024551392,0.0003
14,7168,1097,-0.009999999776482582,0.0023875767365098,0.004254952073097229,1.4563801288604736,0.0003
15,7680,1102,-0.009999999776482582,0.0003047020873054862,-0.0360068678855896,1.4638625383377075,0.0003
16,8192,1100,-0.009999999776482582,0.014682305976748466,-0.030879836529493332,1.4624555110931396,0.0003
17,8704,1104,-0.009999999776482582,0.0005940422415733337,-0.03223278373479843,1.4894778728485107,0.0003
18,9216,1108,-0.009999999776482582,0.0007852273993194103,-0.011095307767391205,1.5491899251937866,0.0003
19,9728,1109,-0.009999999776482582,0.0012594847939908504,-0.028733041137456894,1.5011826753616333,0.0003
20,10240,1113,-0.009999999776482582,0.0009157893946394324,-0.054263725876808167,1.5006095170974731,0.0003
21,10752,1108,-0.009999999776482582,0.01549623440951109,-0.03461553156375885,1.5464653968811035,0.0003
22,11264,1110,-0.009999999776482582,0.00042500701965764165,-0.006440497934818268,1.5606052875518799,0.0003
23,11776,1113,-0.009999999776482582,0.00047230665222741663,-0.008118804544210434,1.4919641017913818,0.0003
24,12288,1115,-0.009999999776482582,0.0022291128989309072,-0.0547357052564621,1.5289344787597656,0.0003
25,12800,1116,-0.009999999776482582,0.000752360443584621,0.03823356330394745,1.5186007022857666,0.0003
26,13312,1115,-0.009999999776482582,0.005872887559235096,-0.05177340656518936,1.5207489728927612,0.0003
27,13824,1117,-0.009999999776482582,0.0010946861002594233,-0.05148109421133995,1.517589807510376,0.0003
28,14336,1119,-0.009999999776482582,0.0006423154845833778,-0.02833225205540657,1.476391315460205,0.0003
29,14848,1120,0.13648438453674316,65.01162719726562,-0.04768957942724228,0.9249268174171448,0.0003
30,15360,1118,0.03882812336087227,118.73526763916016,-0.011988431215286255,1.2412728071212769,0.0003
31,15872,1118,-0.009999999776482582,0.0003631843428593129,-0.04991582781076431,1.4515241384506226,0.0003
32,16384,1107,-0.009999999776482582,0.00032572756754234433,-0.05799579620361328,1.510044813156128,0.0003
